,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
2262,,,,,1.0,649.0,PCRP,PC991011,Idea Development Award,5,5.6,0.335704
2279,12.0,875.0,,,1.0,649.0,PCRP,PC991139,Idea Development Award,4,5.5,0.62974
2280,,,,,1.0,649.0,PCRP,PC991140,Idea Development Award,2,8.5,0.512865
2284,,,,,1.0,649.0,PCRP,PC991165,Idea Development Award,19,12.8,0.504254
1703,21.0,645.0,1.5,188.0,1.0,649.0,PCRP,PC110408,Idea Development Award - Established Investigator,4,5.75,0.628833
674,,,,,1.0,649.0,PCRP,PC030512,Idea Development Award,8,5.125,0.5682
2323,,,,,1.0,649.0,PCRP,PC991538,Idea Development Award,5,7.8,0.461999
2372,3.0,1198.0,,,1.0,649.0,PRORP,OR090580,Idea Development Award,2,4.0,0.573964
1718,19.0,687.0,,,1.0,649.0,PCRP,PC110608,Exploration - Hypothesis Development Award,2,9.0,0.116904
2375,35.333333333333336,402.0,,,1.0,649.0,PRORP,OR090621,Clinical Trial Award,4,6.75,0.637993
1732,77.0,159.0,,,1.0,649.0,PCRP,PC110938,Exploration - Hypothesis Development Award,1,10.0,0.112872
1679,7.0,1065.0,,,1.0,649.0,PCRP,PC102144,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,5.0,0.098015
1746,,,,,1.0,649.0,PCRP,PC111295,Idea Development Award - New Investigator Option,1,11.0,0.325243
2474,4.0,1173.0,,,1.0,649.0,TSCRP,TS093091,Exploration - Hypothesis Development Award,1,6.0,0.154012
1668,19.0,687.0,1.0,196.0,1.0,649.0,PCRP,PC102037,Health Disparity Training Award - Predoctoral - PhD and MD/PhD,2,9.0,0.089212
2412,12.2,870.0,,,1.0,649.0,PRORP,OR130080,Idea Development Award,1,6.0,0.574773
1726,,,,,1.0,649.0,PCRP,PC110784,Exploration - Hypothesis Development Award,2,13.5,0.112562
365,,,,,1.0,649.0,PCRP,PC010110,Idea Development Award,7,6.0,0.591543
302,,,,,1.0,649.0,PCRP,PC001434,Idea Development Award without nested HBCU/MI Traineeship,5,5.333333333333333,0.489007
214,,,,,1.0,649.0,PCRP,PC001104,Idea Development Award without nested HBCU/MI Traineeship,10,6.818181818181818,0.433932
206,67.5,194.0,1.0,196.0,1.0,649.0,PCRP,PC001053,New Investigator Award,3,7.0,0.337562
164,,,1.0,196.0,1.0,649.0,NFRP,NF970002,Natural History Study Award,9,5.444444444444445,3.630236
1727,19.0,687.0,,,1.0,649.0,PCRP,PC110858,Postdoctoral Training Award,1,5.0,0.124165
1728,34.0,418.0,,,1.0,649.0,PCRP,PC110877,Exploration - Hypothesis Development Award,1,7.0,0.1305
152,,,2.0,142.0,1.0,649.0,NFRP,NF960003,Investigator-Initiated Research Award,16,4.3125,0.472447
148,1.0,1256.0,,,1.0,649.0,NFRP,NF150024,New Investigator Award,2,2.5,0.66537
144,3.0,1198.0,1.0,196.0,1.0,649.0,NFRP,NF140031,New Investigator Award,3,11.333333333333334,0.607643
1739,16.333333333333332,767.0,,,1.0,649.0,PCRP,PC111127,Idea Development Award - New Investigator Option,3,5.333333333333333,0.339257
123,,,,,1.0,649.0,NFRP,NF110057,Investigator-Initiated Focused Research Award - Optional Qualified Collaborator,1,7.0,1.022508
138,2.0,1226.0,,,1.0,649.0,NFRP,NF130064,Exploration - Hypothesis Development Award,1,12.0,0.087253
2466,5.0,1143.0,,,1.0,649.0,TSCRP,TS093020,Exploration - Hypothesis Development Award,1,5.0,0.172422
133,3.0,1198.0,,,1.0,649.0,NFRP,NF120081,Exploration - Hypothesis Development Award,1,4.0,0.153896
2463,20.2,667.0,,,1.0,649.0,TSCRP,TS080037,Concept Award,5,8.0,0.1104
1674,22.0,620.0,,,1.0,649.0,PCRP,PC102072,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,8.0,0.038983
131,,,,,1.0,649.0,NFRP,NF120070,Exploration - Hypothesis Development Award,1,2.0,0.174
1672,19.0,687.0,,,1.0,649.0,PCRP,PC102068,Prostate Cancer Training Award - Postdoctoral - Ph.D or MD,6,3.3333333333333335,0.124185
2441,10.0,956.0,3.0,107.0,1.0,649.0,TSCRP,TS043013,Idea Development Award,2,9.5,0.444472
2460,43.5,320.0,,,1.0,649.0,TSCRP,TS080004,Concept Award,2,11.5,0.114375
2459,20.714285714285715,662.0,,,1.0,649.0,TSCRP,TS060052,Idea Development Award,9,12.555555555555555,0.350548
2455,50.5,269.0,,,1.0,649.0,TSCRP,TS060030,Concept Award,2,6.0,0.095259
786,18.5,705.0,,,1.0,649.0,PCRP,PC040364,Idea Development Award,6,8.857142857142858,0.556489
435,,,,,1.0,649.0,PCRP,PC010459,Idea Development Award,5,2.6666666666666665,0.557493
1682,13.0,851.0,,,1.0,649.0,PCRP,PC110065,Idea Development Award - New Investigator Option,2,3.0,0.355496
2392,13.0,851.0,1.0,196.0,1.0,649.0,PRORP,OR110135P1,Translational Research Partnership Award,5,6.0,0.024849
568,,,,,1.0,649.0,PCRP,PC020532,Postdoctoral Traineeship Award,12,12.0,0.098
97,34.666666666666664,413.0,,,1.0,649.0,NFRP,NF080075,New Investigator Award,4,6.0,0.662251
99,21.5,634.0,,,1.0,649.0,NFRP,NF080089,Investigator-Initiated Research Award,6,4.666666666666667,0.757623
2381,19.0,687.0,,,1.0,649.0,PRORP,OR090693,Hypothesis Development Award,3,4.0,0.146107
1720,52.0,260.0,,,1.0,649.0,PCRP,PC110626,Postdoctoral Training Award,3,6.0,0.121185
562,,,1.0,196.0,1.0,649.0,PCRP,PC020476,Idea Development Award,4,5.75,0.70912
1686,26.0,544.0,1.0,196.0,1.0,649.0,PCRP,PC110080,Postdoctoral Training Award,2,6.5,0.116164
537,34.0,418.0,,,1.0,649.0,PCRP,PC020322,Idea Development Award,9,10.222222222222221,0.550302
2389,,,,,1.0,649.0,PRORP,OR110030,Clinical Trial Award,1,,0.689925
534,,,,,1.0,649.0,PCRP,PC020287,New Investigator Award,3,4.333333333333333,0.363701
105,19.0,687.0,,,1.0,649.0,NFRP,NF093077,New Investigator Award,3,4.333333333333333,0.60155
2483,12.333333333333334,869.0,,,1.0,649.0,TSCRP,TS110032,Exploration - Hypothesis Development Award,3,5.666666666666667,0.1545
2391,15.0,804.0,1.0,196.0,1.0,649.0,PRORP,OR110135,Translational Research Partnership Award,4,5.5,0.620465
2393,15.0,804.0,1.0,196.0,1.0,649.0,PRORP,OR110135P2,Translational Research Partnership Award,5,5.6,0.546273
436,,,,,1.0,649.0,PCRP,PC010461,Idea Development Award,4,4.166666666666667,0.572197
531,,,,,1.0,649.0,PCRP,PC020260,Postdoctoral Traineeship Award,1,5.0,0.098
2482,12.0,875.0,,,1.0,649.0,TSCRP,TS110015,Exploration - Hypothesis Development Award,1,5.0,0.151991
2481,63.0,210.0,,,1.0,649.0,TSCRP,TS100088,Exploration - Hypothesis Development Award,1,7.0,0.066109
507,,,,,1.0,649.0,PCRP,PC020062,Idea Development Award,3,7.0,0.564373
502,,,,,1.0,649.0,PCRP,PC020017,Idea Development Award,1,7.0,0.44634
1666,124.0,83.0,2.0,142.0,1.0,649.0,PCRP,PC102033,Health Disparity Training Award - Postdoctoral - Ph.D or M.D,2,4.5,0.115877
106,,,,,1.0,649.0,NFRP,NF093079,Postdoctoral Traineeship Award,1,3.0,0.156
494,,,,,1.0,649.0,PCRP,PC011004,Health Disparity Training-Prostate Scholar Award: Postdoctoral Traineeship,4,13.0,0.3
487,,,,,1.0,649.0,PCRP,PC010693,Idea Development Award,5,6.0,0.56625
484,,,,,1.0,649.0,PCRP,PC010677,Idea Development Award,3,2.0,0.337054
483,,,,,1.0,649.0,PCRP,PC010674,Idea Development Award,7,8.285714285714286,0.552148
468,23.666666666666668,597.0,1.0,196.0,1.0,649.0,PCRP,PC010577,New Investigator Award,5,4.6,0.3375
1750,2.0,1226.0,,,1.0,649.0,PCRP,PC111314P1,Synergistic Idea Development Award,1,7.0,0.582656
392,10.0,956.0,,,1.0,649.0,PCRP,PC010242,Idea Development Award,2,7.0,0.689456
1861,5.0,1143.0,,,1.0,649.0,PCRP,PC121720,Exploration - Hypothesis Development Award,1,9.0,0.127347
795,374.0,10.0,1.0,196.0,1.0,649.0,PCRP,PC040429,Postdoctoral Traineeship Award,1,10.0,0.125
1388,103.25,108.0,,,1.0,649.0,PCRP,PC081050,Physician Research Training Award,4,7.0,0.701836
1965,1.0,1256.0,,,1.0,649.0,PCRP,PC132003,Health Disparity Research Award-Qualified Collaborator Option,1,19.0,0.876192
1963,0.5,1285.0,,,1.0,649.0,PCRP,PC131985,Health Disparity Research Award-New Investigator Option,1,4.0,0.7641
1816,17.0,752.0,,,1.0,649.0,PCRP,PC120872,Idea Development Award - New Investigator Option,1,8.0,0.333103
1365,14.0,824.0,,,1.0,649.0,PCRP,PC080729,New Investigator Award,7,5.142857142857143,0.354079
1366,16.0,770.0,,,1.0,649.0,PCRP,PC080753,Idea Development Award,1,3.0,0.519902
1553,5.5,1136.0,,,1.0,649.0,PCRP,PC094628,New Investigator Award,3,3.3333333333333335,0.334765
1387,49.0,282.0,,,1.0,649.0,PCRP,PC081048,Idea Development Award,5,7.8,0.5622
1396,12.0,875.0,,,1.0,649.0,PCRP,PC081176,New Investigator Award,1,10.0,0.429525
1972,1.5,1253.0,,,1.0,649.0,PCRP,PC140136,Idea Development Award - Established Investigator,2,7.5,0.563055
1823,8.5,1017.0,,,1.0,649.0,PCRP,PC121018P1,Synergistic Idea Development Award,5,3.3333333333333335,0.546859
1824,7.5,1056.0,,,1.0,649.0,PCRP,PC121061,Synergistic Idea Development Award,2,5.0,0.6075
1825,10.0,956.0,,,1.0,649.0,PCRP,PC121061P1,Synergistic Idea Development Award,1,3.0,0.6625
1547,38.0,362.0,,,1.0,649.0,PCRP,PC094560,New Investigator Award,3,7.333333333333333,0.350085
1542,31.5,456.0,,,1.0,649.0,PCRP,PC094507,New Investigator Award,4,11.5,0.224807
1418,13.5,842.0,,,1.0,649.0,PCRP,PC081560,New Investigator Award,2,12.5,0.333
1538,43.6,319.0,,,1.0,649.0,PCRP,PC094496,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,5,5.333333333333333,0.084546
1360,13.909090909090908,840.0,,,1.0,649.0,PCRP,PC080663,Idea Development Award,10,4.636363636363637,0.547283
1560,44.0,317.0,,,1.0,649.0,PCRP,PC094754,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,6.0,0.054414
1252,13.166666666666666,850.0,,,1.0,649.0,PCRP,PC073851,Idea Development Award,16,5.111111111111111,0.54294
1311,68.4,187.0,,,1.0,649.0,PCRP,PC080160,Prostate Cancer Training Award - Postdoctoral - PhD,7,6.142857142857143,0.116892
1261,14.0,824.0,,,1.0,649.0,PCRP,PC073976,Idea Development Award,2,8.5,0.555
1591,18.0,719.0,,,1.0,649.0,PCRP,PC100613,Synergistic Idea Development Award,3,7.666666666666667,0.231663
1293,18.0,719.0,,,1.0,649.0,PCRP,PC074262,Synergistic Idea Development Award,5,2.5,0.562846
1294,12.0,875.0,,,1.0,649.0,PCRP,PC074262P1,Synergistic Idea Development Award,5,3.6,0.563216
1300,22.0,620.0,,,1.0,649.0,PCRP,PC074317P1,Synergistic Idea Development Award,4,6.25,0.437021
1807,4.5,1167.0,,,1.0,649.0,PCRP,PC120587,Idea Development Award,2,8.5,0.586875
1307,6.5,1094.0,,,1.0,649.0,PCRP,PC080117,Health Disparity Training Award - Postdoctoral -  PhD,2,6.5,0.104322
1570,20.0,668.0,,,1.0,649.0,PCRP,PC100310,Idea Development Award - Established Investigator,2,2.0,0.779227
1345,17.0,752.0,,,1.0,649.0,PCRP,PC080453,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,4.0,0.094312
1313,4.0,1173.0,,,1.0,649.0,PCRP,PC080176,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,4.0,0.0999
1322,3.0,1198.0,,,1.0,649.0,PCRP,PC080258,Idea Development Award,2,2.5,0.5764
1324,34.0,418.0,,,1.0,649.0,PCRP,PC080275,Idea Development Award,2,6.0,0.485437
1326,35.666666666666664,397.0,,,1.0,649.0,PCRP,PC080315,Idea Development Award,4,7.0,0.564302
1982,,,,,1.0,649.0,PCRP,PC140385,Idea Development Award - Established Investigator,1,3.0,0.564375
1336,37.666666666666664,369.0,,,1.0,649.0,PCRP,PC080412,Idea Development Award,3,6.0,0.545369
1339,22.5,615.0,,,1.0,649.0,PCRP,PC080429,Idea Development Award,4,6.5,0.515631
1436,,,,,1.0,649.0,PCRP,PC081664,Clinical Trial Award,2,10.5,1.20146
1933,5.0,1143.0,,,1.0,649.0,PCRP,PC131680,Exploration - Hypothesis Development Award,1,9.0,0.072658
1537,10.0,956.0,,,1.0,649.0,PCRP,PC094476,Prostate Cancer Training Award - Postdoctoral - PhD,1,6.0,0.123583
1502,43.0,323.0,1.0,196.0,1.0,649.0,PCRP,PC094246,Prostate Cancer Training Award - Postdoctoral - PhD,1,3.0,0.115572
1887,,,,,1.0,649.0,PCRP,PC130391,Idea Development Award - Established Investigator,1,14.0,0.525539
1492,9.0,989.0,,,1.0,649.0,PCRP,PC094159,Prostate Cancer Training Award - Postdoctoral - PhD,3,7.333333333333333,0.123198
1493,11.0,918.0,,,1.0,649.0,PCRP,PC094161,New Investigator Award,1,16.0,0.327969
1514,87.0,138.0,,,1.0,649.0,PCRP,PC094336,New Investigator Award,1,7.0,0.346375
1505,24.0,578.0,,,1.0,649.0,PCRP,PC094270,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,2,9.5,0.076306
1879,2.0,1226.0,,,1.0,649.0,PCRP,PC130259,Idea Development Award - Established Investigator,2,8.5,0.561761
1877,49.0,282.0,,,1.0,649.0,PCRP,PC130227,Idea Development Award - New Investigator Option,1,11.0,0.340875
1500,223.0,34.0,1.0,196.0,1.0,649.0,PCRP,PC094222,Prostate Cancer Training Award - Postdoctoral - PhD,2,3.5,0.1242
1437,2.0,1226.0,,,1.0,649.0,PCRP,PC081669,Health Disparity Training Award - Postdoctoral -  PhD,3,7.333333333333333,0.1242
1874,18.5,705.0,,,1.0,649.0,PCRP,PC130062,Idea Development Award - Established Investigator,3,5.0,0.451469
1497,34.5,414.0,,,1.0,649.0,PCRP,PC094195,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,2,12.0,0.093706
1868,20.0,668.0,,,1.0,649.0,PCRP,PC121890,Exploration - Hypothesis Development Award,2,1.0,0.132
1856,18.5,705.0,,,1.0,649.0,PCRP,PC121661,Exploration - Hypothesis Development Award,3,5.0,0.126375
1499,20.0,668.0,,,1.0,649.0,PCRP,PC094218,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,1,13.0,0.099197
1859,8.0,1026.0,,,1.0,649.0,PCRP,PC121718,Postdoctoral Training Award,1,6.0,0.03477
1863,9.0,989.0,,,1.0,649.0,PCRP,PC121738,Postdoctoral Training Award,1,17.0,0.115285
1889,,,1.0,196.0,1.0,649.0,PCRP,PC130431,Laboratory - Clinical Transition Award,1,21.0,1.421999
1515,11.0,918.0,,,1.0,649.0,PCRP,PC094338,Prostate Cancer Training Award - Postdoctoral - PhD,3,4.666666666666667,0.11385
1484,73.4,168.0,1.0,196.0,1.0,649.0,PCRP,PC094021,Physician Research Training Award,5,7.166666666666667,0.683345
1893,6.0,1103.0,,,1.0,649.0,PCRP,PC130555,Synergistic Idea Development Award,1,19.0,0.392392
1444,42.0,329.0,,,1.0,649.0,PCRP,PC093051,Idea Development Award,14,4.071428571428571,0.568623
1534,4.875,1166.0,,,1.0,649.0,PCRP,PC094461,Health Disparity Research Award - Established Investigator,10,3.2,0.66033
1446,36.833333333333336,383.0,,,1.0,649.0,PCRP,PC093132,Idea Development Award,6,10.666666666666666,0.691872
1920,11.0,918.0,,,1.0,649.0,PCRP,PC131242,Idea Development Award - Established Investigator,2,5.0,0.584998
1532,28.666666666666668,505.0,,,1.0,649.0,PCRP,PC094439,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,3,2.6666666666666665,0.071331
1837,18.5,705.0,,,1.0,649.0,PCRP,PC121355,Exploration - Hypothesis Development Award,3,5.0,0.126375
1531,11.0,918.0,,,1.0,649.0,PCRP,PC094435,New Investigator Award,1,4.0,0.339973
1912,,,,,1.0,649.0,PCRP,PC130944,Idea Development Award - Established Investigator,2,9.0,0.59625
1910,24.0,578.0,,,1.0,649.0,PCRP,PC130736,Idea Development Award - Established Investigator,1,6.0,0.5625
1466,12.0,875.0,,,1.0,649.0,PCRP,PC093606,Idea Development Award,2,5.0,0.642635
1468,63.8,208.0,1.0,196.0,1.0,649.0,PCRP,PC093666,Idea Development Award,7,4.714285714285714,0.685893
1527,17.4,749.0,,,1.0,649.0,PCRP,PC094418,New Investigator Award,8,6.0,0.387642
1845,7.0,1065.0,,,1.0,649.0,PCRP,PC121517,Exploration - Hypothesis Development Award,1,5.0,0.111644
1475,13.0,851.0,,,1.0,649.0,PCRP,PC093768,Idea Development Award,2,6.5,0.720143
1894,6.0,1103.0,,,1.0,649.0,PCRP,PC130555P1,Synergistic Idea Development Award,2,12.5,0.275161
1253,71.0,177.0,,,1.0,649.0,PCRP,PC073877,Idea Development Award,3,7.0,0.57
1593,9.5,978.0,,,1.0,649.0,PCRP,PC100613P2,Synergistic Idea Development Award,5,7.4,0.299472
818,,,1.0,196.0,1.0,649.0,PCRP,PC040616,Postdoctoral Traineeship Award,7,5.428571428571429,0.124808
2083,0.5,1285.0,,,1.0,649.0,PCRP,PC150797,Impact Award - Partnering PI Option,2,18.5,1.150208
938,12.0,875.0,,,1.0,649.0,PCRP,PC050691,Predoctoral Traineeship Award,2,7.5,0.1
946,18.5,705.0,,,1.0,649.0,PCRP,PC050769,Idea Development Award,8,6.5,0.520722
1778,14.625,819.0,1.0,196.0,1.0,649.0,PCRP,PC111721P2,Synergistic Idea Development Award,8,5.125,0.35022
951,,,1.6666666666666667,185.0,1.0,649.0,PCRP,PC050812,Postdoctoral Traineeship Award,6,3.4285714285714284,0.125
957,71.0,177.0,,,1.0,649.0,PCRP,PC050850,Idea Development Award,1,14.0,0.565398
2085,0.5,1285.0,,,1.0,649.0,PCRP,PC150797P2,Impact Award - Partnering PI Option,2,18.5,1.000105
2084,0.5,1285.0,,,1.0,649.0,PCRP,PC150797P1,Impact Award - Partnering PI Option,2,18.5,0.982801
2080,,,,,1.0,649.0,PCRP,PC150752P1,Idea Development Award - Established Investigator - Partnering PI Option,2,12.0,0.6525
1862,1.5,1253.0,,,1.0,649.0,PCRP,PC121737,Exploration - Hypothesis Development Award,2,8.5,0.114
2079,,,,,1.0,649.0,PCRP,PC150752,Idea Development Award - Established Investigator - Partnering PI Option,1,15.0,0.729429
974,24.0,578.0,,,1.0,649.0,PCRP,PC051072,Postdoctoral Traineeship Award,3,6.333333333333333,0.122985
975,,,,,1.0,649.0,PCRP,PC051081,Idea Development with Nested Resident and Medical Student Traineeship Award,8,12.375,0.627451
984,8.0,1026.0,,,1.0,649.0,PCRP,PC051157,Idea Development Award,7,7.125,0.568125
986,,,,,1.0,649.0,PCRP,PC051194,Idea Development Award,14,5.642857142857143,0.375589
991,88.0,137.0,1.0,196.0,1.0,649.0,PCRP,PC051248,Idea Development Award,3,6.333333333333333,0.497306
993,25.0,556.0,,,1.0,649.0,PCRP,PC051264,Exploration - Hypothesis Development Award,8,13.875,0.102414
934,16.0,770.0,,,1.0,649.0,PCRP,PC050680,Idea Development Award,3,4.666666666666667,0.454218
921,,,,,1.0,649.0,PCRP,PC050506,Postdoctoral Traineeship Award,2,5.5,0.125
1246,92.0,133.0,,,1.0,649.0,PCRP,PC073790,Idea Development Award,3,6.666666666666667,0.560369
1776,19.333333333333332,684.0,1.0,196.0,1.0,649.0,PCRP,PC111721,Synergistic Idea Development Award,8,6.375,0.394329
826,55.0,245.0,,,1.0,649.0,PCRP,PC040685,New Investigator Award,3,4.0,0.32499
832,259.0,25.0,,,1.0,649.0,PCRP,PC040768,Idea Development Award,1,14.0,0.405
836,,,,,1.0,649.0,PCRP,PC040796,Exploration - Hypothesis Development Award,1,8.0,0.076385
841,6.0,1103.0,,,1.0,649.0,PCRP,PC040836,Idea Development Award,3,8.0,0.469487
845,8.0,1026.0,,,1.0,649.0,PCRP,PC040907,HBCU Collaborative Partnership Award,6,4.333333333333333,0.852263
853,12.5,865.0,,,1.0,649.0,PCRP,PC041004,Idea Development Award,11,6.818181818181818,0.54
2109,5.0,1143.0,,,1.0,649.0,PCRP,PC160398,Idea Development Award - Established Investigator,3,5.333333333333333,0.865785
863,,,,,1.0,649.0,PCRP,PC041144,Exploration - Hypothesis Development Award,2,4.0,0.113998
916,,,,,1.0,649.0,PCRP,PC050457,Idea Development with Nested Resident and Medical Student Traineeship Award,2,6.0,0.683137
865,23.5,598.0,,,1.0,649.0,PCRP,PC041176,HBCU Collaborative Partnership Award,9,6.818181818181818,0.815865
874,53.5,254.0,1.0,196.0,1.0,649.0,PCRP,PC050010,Clinical Trial Award,2,8.0,0.918172
876,47.8,290.0,,,1.0,649.0,PCRP,PC050037,Clinical Trial Award,6,7.0,0.736306
